Tbilisi_CPI,Kutaisi_CPI,Batumi_CPI,Gori_CPI,Telavi_CPI,Zugdidi_CPI,Tbilisi_Rent,Kutaisi_Rent,Batumi_Rent,Gori_Rent,Telavi_Rent,Zugdidi_Rent
127.7412909,134.4162023,127.2483868,129.126712,138.9826383,124.8579468,150.1274447,99.94430704,90.7514703,154.9209044,111.579863,93.18937786
128.3267292,132.9632976,127.6175344,131.4889561,138.696334,124.4587759,152.5500512,99.94430704,90.7514703,154.9209044,111.579863,93.18937786
127.2009188,130.2238548,125.1719996,128.8355089,136.3325324,122.4852331,148.2844467,99.94430704,90.7514703,154.9209044,111.579863,93.18937786
126.2601408,130.0376347,125.3161977,127.8347147,136.2508692,122.1927384,138.6899981,99.94430704,90.7514703,154.9209044,111.579863,93.18937786
126.0062317,130.0463472,125.4975303,128.6398177,136.300737,122.4538643,138.6899981,99.94430704,90.7514703,154.9209044,111.579863,93.18937786
127.1544005,130.3717232,126.5289945,128.9628323,137.2174958,122.846084,141.8820871,99.94430704,90.7514703,154.9209044,111.579863,93.18937786
127.9046114,131.7725673,127.2160469,130.9448621,139.6864502,123.4229692,136.3742245,99.94430704,90.7514703,154.9209044,111.579863,93.18937786
128.5638318,133.3268248,128.7833486,133.0474437,140.9324533,125.505485,136.3742245,99.94430704,90.7514703,154.9209044,111.579863,93.18937786
127.2085119,132.2816758,126.787593,132.251687,139.153463,125.6898525,136.7578452,99.94430704,90.7514703,154.9209044,119.3469373,93.18937786
128.427551,133.8330753,128.3274284,133.6075313,140.4090447,128.5384873,136.7578452,99.94430704,90.7514703,154.9209044,119.3469373,93.18937786
129.6736836,135.4078891,129.8523432,135.2396809,142.3725248,129.5612681,135.3998398,99.94430704,90.7514703,154.9209044,119.3469373,93.18937786
134.7059302,142.1738151,135.0221545,142.1812632,149.5508051,133.9861741,129.3500396,99.94430704,90.7514703,154.9209044,119.3469373,93.18937786
136.204399,143.2247639,136.1454038,143.619711,150.9292149,134.3159141,124.3021543,99.94430704,89.17175945,154.9209044,119.3469373,93.18937786
137.1476144,144.1810756,138.5510931,143.5786358,152.1716642,133.4098189,124.8531857,99.94430704,89.17175945,154.9209044,119.3469373,93.18937786
138.5978133,145.1084483,138.6825781,143.5638472,152.4437471,133.5216163,129.1716077,99.94430704,89.17175945,154.9209044,119.3469373,93.18937786
139.9828213,147.9559114,140.3107116,146.1662291,154.9249215,136.308346,127.6683085,99.94430704,89.17175945,154.9209044,119.3469373,93.18937786
140.8740919,148.4696143,142.6729827,146.4535919,156.4108064,137.7438092,135.248742,99.94430704,89.17175945,154.9209044,119.3469373,107.046452
141.0122894,149.3043105,143.1502238,146.6182057,157.033165,138.3629676,132.2665073,99.94430704,89.17175945,154.9209044,119.3469373,107.046452
142.7893262,150.6317751,145.075308,149.0451769,159.3443792,141.1483525,132.2665073,99.94430704,89.17175945,154.9209044,119.3469373,107.046452
143.3694793,152.2903816,145.3966499,150.8003329,160.0223895,143.0318361,126.7482163,99.94430704,89.17175945,154.9209044,119.3469373,107.046452
143.6183687,152.8704557,145.8784944,151.7978771,160.4034028,143.5244378,125.6940514,99.94430704,89.17175945,154.9209044,119.3469373,107.046452
144.6522773,155.684495,147.4599631,153.1576825,163.1573688,146.588541,125.6940514,99.94430704,89.17175945,154.9209044,119.3469373,107.046452
145.9347644,156.2938441,149.4735289,155.0487204,164.9971313,147.216966,125.6940514,99.94430704,86.58435168,154.9209044,119.3469373,107.046452
149.3392765,159.9231435,153.5658152,158.5331303,169.0700855,151.9549969,133.4674743,99.94430704,86.58435168,154.9209044,117.0918769,107.046452
152.257814,162.9082689,156.4900154,160.0230246,172.8290207,154.0977143,135.4470639,99.94430704,86.58435168,154.9209044,130.56037,107.046452
155.5902808,162.40195,157.8009323,160.9738814,172.492177,151.599174,182.6345184,109.7949179,89.17183844,154.9209044,138.5569316,107.046452
155.2871909,164.0048572,159.6637723,160.1110614,172.8168072,153.1351768,183.1247094,109.7949179,89.17183844,154.9209044,138.5569316,107.046452
155.4812999,164.1901827,159.7246042,160.3265709,172.8117955,155.6377118,182.3334275,109.7949179,94.85467054,154.9209044,138.5569316,107.046452
155.5672811,163.5399896,160.2168754,160.6004087,173.1494698,157.4854428,182.1064224,109.1273648,94.85467054,154.9209044,141.2234597,112.5643754
156.2002843,166.7653253,162.3817258,162.0726326,174.9401816,158.6177631,180.1414941,113.2098195,94.85467054,163.6795126,141.2234597,114.9615464
157.451761,166.4004427,163.3703058,164.0917335,175.035524,157.6592359,190.643383,102.2917513,94.51746218,163.6795126,141.2234597,114.9615464
158.220598,166.3954507,163.7222054,164.5974642,176.208087,159.6946167,201.5007143,102.0260996,94.35848381,163.6795126,141.2234597,114.9615464
157.9864315,164.2071841,163.8926402,164.0488609,175.8132047,160.0326902,208.4885575,101.7959287,93.71146769,163.6795126,141.2234597,114.9615464
159.2950331,166.0039392,165.1995202,165.3433704,175.9506906,160.7206707,214.5808017,104.5740414,93.71146769,163.6795126,141.2234597,114.9615464
159.0339485,165.5530725,164.8692863,165.0406267,175.0777992,158.4453482,210.718991,102.5013839,93.71146769,163.6795126,141.2234597,114.9615464
158.900519,165.6474377,164.1741974,164.1860464,174.1266015,157.3382905,209.7812915,106.9646017,93.71146769,163.6795126,141.2234597,114.9615464
157.7802704,164.5806682,163.209674,162.2885482,172.6097847,156.526425,205.1180631,105.6844493,93.71146769,163.6795126,141.2234597,114.9615464
158.6239215,163.2046092,162.1003378,161.7641939,172.1061093,153.1670548,204.6850589,103.7506353,98.78060211,163.6795126,141.2234597,114.9615464
158.0003709,161.1030235,161.4759273,160.1481696,169.6491225,152.2828214,204.1229937,99.14140956,115.6376106,167.4526527,141.2234597,116.4855916
158.1310372,161.9629914,161.1721911,158.9768459,168.9661152,151.3331857,207.4461161,96.27899879,120.3656856,160.1878868,141.2234597,114.9614941
159.0296958,162.9310442,162.5326456,160.8837732,170.8781357,152.8201856,210.6799936,89.7483943,124.4873678,159.4873852,136.6812896,114.2625282
159.3978496,165.3631159,163.2536404,160.8717069,173.46899,154.9818272,211.4826844,91.6177636,125.8822488,182.9090647,136.6812896,114.2625282
160.3045046,165.4128902,163.8516385,162.6437087,175.2277921,156.7867455,214.7052575,96.16713527,120.8747788,192.6160487,127.1736024,116.3577602
159.8128506,165.4097474,163.4461057,162.7785404,173.699981,157.0534398,221.0905919,96.32494554,117.3887502,192.053032,128.324905,113.7942824
159.7040181,165.4932793,163.9751807,162.9494578,174.0220208,158.2426484,214.9365352,94.74444584,119.6906262,192.3393831,131.2830507,113.7942824
